word,wordType,pronunciation,meaning,example
assignment,noun,/ə'sainmənt/,"‹sự› giao việc, phân công",a freelance/photo assignment
choose,verb,/tʃuz/,"chọn, chọn lựa",She had to choose between the two men in her life.
constantly,adverb,/'kɔnstəntli/,"trung thành, chung thủy",She has the TV on constantly.
constitute,verb,/'kɔnstitju:t/,"tạo thành, thành lập",This latest defeat constitutes a major setback for the Democrats.
decision,noun,/di'siʤn/,sự quyết định; ‹sự› giải quyết,She has had to make some very difficult decisions.
disseminate,verb,/di'semineit/,truyền bá; phổ biến,One of the organization's aims is to disseminate information about the disease.
impact,noun,/'impækt/,‹sự/sức› va mạnh,The impact of the crash reduced the car to a third of its original length.
in-depth,adj,,"cẩn thận, tỉ mỉ",an in-depth report/interview/analysis
investigate,verb,/in'vestigeit/,"điều tra, nghiên cứu",Police are investigating allegations of corruption involving senior executives.
link,noun,/liɳk/,"nối, liên kết, liên lạc",There's a direct link between diet and heart disease.
subscribe,verb,/səbˈskraɪb/,"đặt mua một cái gì đó định kỳ, đăng ký",2.3 million people subscribe to this online music service.
thorough,adj,/'θʌrə/,"thấu đáo, triệt để, hoàn toàn",a thorough revision of the manuscript