lessonid,name,imageLink,vocabularies,qaes,expressions
hack-nao-1500-tu-tieng-anh-lesson1,Comunication1,https://raw.githubusercontent.com/zorotstudio/eg-data/master/images/hack-nao-1500-tu-tieng-anh/caster.png,Additional,,
,,,Admit,,
,,,Agree,,
,,,Announce,,
,,,Apologize,,
,,,Approve,,
,,,Argue,,
,,,Blame,,
,,,Brief,,
,,,Brochure,,
,,,Certain,,
,,,Comma,,
,,,Complaint,,
,,,Complete,,
,,,Conference,,
,,,Confirm,,
,,,Contact,,
,,,Convince,,
,,,Discuss,,
,,,Extreme,,
,,,Hint,,
,,,Hurry,,
,,,Include,,
,,,Interact,,
,,,Need,,
,,,Order,,
,,,Postcard,,
,,,Prepare,,
,,,Reason,,
,,,Stamp,,
,,,Whole,,